Final Product,ReXI Fiber Required To Make Final Product,Quantity of ReXI Fiber Bundles Required To Make Final Product
Soft-Madame-22 Inches-Burgundy,Rexi-straight-hair-24 Inches-Burgundy,1.5
Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5
Spicy-Icon-12 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-18 Inches-Black,2
Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5
Soft-Girl-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5
Spicy-Icon-12 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-18 Inches-Natural-Color,2
Fine-Fox-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5
Sweet-Siren-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5
Soft-Madame-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5
Soft-Madame-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5
Midnight-Muse-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.25
Mother-12 Inches-Chocolate,Rexi-straight-hair-18 Inches-Chocolate,1.75
Urban-Wonder-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1
Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75
Midnight-Muse-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.25
Cosmo-Chic-20 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5
Dreamy-Halo-22 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-24 Inches-Black,1.5
Fine-Fox-12 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1.5
Midnight-Muse-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.25
Sweet-Siren-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5
Cosmo-Chic-20 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5
Soft-Girl-10 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1.5
Pop-Princess-22 Inches-Burgundy,Rexi-straight-hair-24 Inches-Burgundy,1.5
City-Charmer-24 Inches-Natural-Color,Rexi-straight-hair-26 Inches-Natural-Color,2
Urban-Wonder-12 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1
Pop-Princess-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5
Urban-Wonder-12 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1
Retro-Flair-12 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,3
Classic-Cougar-10 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1.75
Sleek-Charmer-18 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1
City-Charmer-24 Inches-Black,Rexi-straight-hair-26 Inches-Black,2
Sleek-Charmer-24 Inches-Black,Rexi-straight-hair-24 Inches-Black,1
Sweet-Siren-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5
Sleek-Charmer-18 Inches-Black,Rexi-straight-hair-18 Inches-Black,1
Cherry-Locks-18 Inches-Black,Rexi-straight-hair-20 Inches-Black,1.75
Ripple-Flex-24 Inches-Black,Rexi-straight-hair-26 Inches-Black,2
Cosmo-Chic-20 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5
Fine-Fox-12 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1.5
Sleek-Charmer-18 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1
Soft-Girl-12 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1.5
Dream-Girl-24 Inches-Natural-Color,Rexi-straight-hair-26 Inches-Natural-Color,2
Dream-Girl-24 Inches-Black,Rexi-straight-hair-26 Inches-Black,2
Spiral-Sweetheart-8 Inches-Black,Rexi-straight-hair-20 Inches-Black,1.5
Virgo-Aura-20 Inches-Ginger,Rexi-straight-hair-26 Inches-Ginger,4
Soft-Girl-12 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1.5
Soft-Girl-10 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5
Classic-Cougar-10 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75
Cherry-Locks-18 Inches-Natural-Color,Rexi-straight-hair-20 Inches-Natural-Color,1.75
Sleek-Charmer-24 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1
Ripple-Flex-24 Inches-Natural-Color,Rexi-straight-hair-26 Inches-Natural-Color,2
Retro-Flair-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,3
Soft-Girl-12 Inches-Chocolate,Rexi-straight-hair-24 Inches-Chocolate,1.5
Dream-Girl-24 Inches-Chocolate,Rexi-straight-hair-26 Inches-Chocolate,2
Fine-Fox-12 Inches-Chocolate,Rexi-straight-hair-18 Inches-Chocolate,1.5
Mother-12 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.75
Spiral-Sweetheart-8 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5
Soft-Girl-10 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1.5
Virgo-Aura-20 Inches-Black,Rexi-straight-hair-26 Inches-Black,4
Soft-Madame-22 Inches-Ginger,Rexi-straight-hair-24 Inches-Ginger,1.5